"","Emergency","ApplyLeadTime","STG","Service","DIA","Length","Pass","Sch","Material","Weight","MemberCount","JointCount","Making_Co","MakingLT"
"17957","1","정상","50","WD",2,3663,"A","S-10S","SS",7543,4,3,"삼성중공업(주)거제",46
"17958","1","정상","50","WD",2,3140,"A","S-10S","SS",10785,5,3,"삼성중공업(주)거제",46
"17959","1","정상","50","FCH",3,4638,"A","S-10S","SS",17035,3,1,"삼성중공업(주)거제",35
"17960","1","정상","50","FCH",3,2902,"A","S-10S","SS",9210,1,0,"삼성중공업(주)거제",35
"17961","0","정상","30","WD",1,1192,"B","S-80S","SS",5002,6,4,"성일",18
"17962","0","정상","30","WD",1,354,"B","S-80S","SS",19341,2,0,"성일",12
"17963","1","정상","50","WD",1,1387,"B","S-80S","SS",21192,4,3,"삼성중공업(주)거제",46
"17964","1","정상","40","CDD",2,1859,"B","S-10S","SS",5752,6,5,"건일산업(주)",41
"17965","1","정상","30","CDD",2,3253,"B","S-10S","SS",9115,4,3,"삼성중공업(주)거제",45
"17966","1","정상","30","CDD",2,4638,"B","S-10S","SS",9394,3,2,"삼성중공업(주)거제",45
"17967","1","정상","30","CDD",2,3213,"B","S-10S","SS",13349,6,4,"삼성중공업(주)거제",38
"17970","1","정상","30","LNG",8,2655,"","S-10S","SS",3657,7,6,"건일산업(주)",17
"17973","1","정상","50","WD",2,876,"B","S-10S","SS",5890,6,4,"삼성중공업(주)거제",43
"17974","1","정상","50","WD",2,4383,"B","S-10S","SS",12739,6,3,"삼성중공업(주)거제",46
"17976","1","정상","50","WD",1,603,"A","S-80S","SS",3299,5,3,"삼성중공업(주)거제",51
"17977","1","정상","50","WD",1,603,"A","S-80S","SS",3736,5,3,"삼성중공업(주)거제",53
"17978","1","정상","50","WD",1,456,"A","S-80S","SS",1412,4,2,"삼성중공업(주)거제",46
"17979","1","정상","50","WD",1,5203,"A","S-80S","SS",38,1,0,"삼성중공업(주)거제",39
"17980","1","정상","50","WD",1,2163,"A","S-80S","SS",7150,3,2,"삼성중공업(주)거제",39
