"","Emergency","ApplyLeadTime","STG","Service","DIA","Length","Pass","Sch","Material","Weight","MemberCount","JointCount","Making_Co","After2_Co","PaintingLT"
"4080","1","정상","40","DN",0.75,2147,"A","S-80S","SS",7122,6,5,"성일","하이에어",21
"4081","0","정상","40","DN",0.75,4630,"A","S-80S","SS",1259,3,2,"삼성중공업(주)거제","하이에어",22
"4082","0","정상","40","DN",0.75,2264,"A","S-80S","SS",1395,9,0,"삼성중공업(주)거제","하이에어",28
"4083","0","정상","40","DN",0.75,4892,"A","S-80S","SS",14185,7,0,"삼성중공업(주)거제","하이에어",23
"4084","0","정상","40","DN",0.75,2089,"A","S-80S","SS",948,3,0,"삼성중공업(주)거제","하이에어",22
"4085","0","정상","40","DN",0.75,5104,"A","S-80S","SS",16319,7,0,"삼성중공업(주)거제","하이에어",22
"4087","0","정상","40","DN",0.75,3089,"A","S-80S","SS",11432,9,8,"삼성중공업(주)거제","하이에어",23
"4089","0","정상","40","DN",0.75,4630,"A","S-80S","SS",7099,3,2,"삼성중공업(주)거제","하이에어",22
"4090","1","정상","40","DN",0.75,4611,"A","S-80S","SS",7286,4,2,"성일","하이에어",20
"4091","0","정상","40","DN",0.75,2182,"A","S-80S","SS",1228,5,4,"삼성중공업(주)거제","하이에어",34
"4092","0","정상","40","DN",0.75,2182,"A","S-80S","SS",1228,5,4,"삼성중공업(주)거제","하이에어",22
"4094","0","정상","40","DN",1.5,3873,"A","S-80S","SS",14230,3,2,"삼성중공업(주)거제","하이에어",21
"4095","0","정상","40","DN",1.5,3873,"A","S-80S","SS",14230,3,2,"삼성중공업(주)거제","하이에어",21
"4096","0","정상","40","VA",2,3366,"A","S-10S","SS",12622,10,7,"삼성중공업(주)거제","하이에어",28
"4097","0","정상","40","VA",2,1735,"A","S-10S","SS",10484,9,6,"삼성중공업(주)거제","하이에어",28
"4098","0","정상","40","FGH",4,4733,"A","S-40S","SS",7720,4,3,"삼성중공업(주)거제","하이에어",28
"4099","1","정상","40","FDT",3,3259,"B","S-10S","SS",14935,10,7,"성일","하이에어",21
"4100","0","정상","3B","FGH",4,4208,"B","S-40S","SS",1831,4,1,"삼성중공업(주)거제","하이에어",28
"4101","1","정상","40","DN",0.75,178,"A","S-80S","SS",14224,4,3,"성일","하이에어",21
"4102","0","정상","40","DN",0.75,161,"A","S-80S","SS",18049,11,10,"삼성중공업(주)거제","하이에어",34
"4103","0","정상","40","DN",0.75,2106,"A","S-80S","SS",1186,5,4,"삼성중공업(주)거제","하이에어",28
"4104","1","정상","40","DN",0.75,178,"A","S-80S","SS",14224,4,3,"성일","하이에어",21
"4105","0","정상","40","DN",0.75,161,"A","S-80S","SS",18026,11,10,"삼성중공업(주)거제","하이에어",34
"4106","0","정상","40","DN",0.75,2106,"A","S-80S","SS",1242,5,4,"삼성중공업(주)거제","하이에어",22
"4107","0","정상","40","WD",1,4274,"A","S-80S","SS",10143,6,4,"삼성중공업(주)거제","하이에어",39
"4108","0","정상","40","WD",1,1375,"A","S-80S","SS",19465,2,1,"삼성중공업(주)거제","하이에어",34
"4110","1","정상","40","VA",0.5,5224,"A","S-80S","SS",16503,6,4,"성일","하이에어",20
"4111","1","정상","40","VA",0.5,3722,"A","S-80S","SS",4866,7,4,"성일","하이에어",20
"4112","0","정상","40","VA",4,352,"B","S-10S","SS",13671,7,5,"삼성중공업(주)거제","하이에어",28
"4115","0","정상","40","VA",2,2376,"A","S-10S","SS",9009,7,5,"삼성중공업(주)거제","하이에어",22
"4116","0","정상","40","VA",2,4638,"A","S-10S","SS",13427,7,4,"삼성중공업(주)거제","하이에어",24
"4117","0","정상","40","VA",2,4638,"A","S-10S","SS",12441,5,2,"삼성중공업(주)거제","하이에어",24
"4118","0","정상","40","VA",2,3952,"A","S-10S","SS",9779,5,3,"삼성중공업(주)거제","하이에어",24
"4119","0","정상","40","VA",2,1349,"A","S-10S","SS",5352,5,3,"삼성중공업(주)거제","하이에어",24
"4120","1","정상","50","OL",3,464,"A","S-10S","SS",21393,1,0,"건일산업(주)","건일산업(주)",22
"4121","0","정상","40","VA",3,4638,"A","S-10S","SS",17122,7,4,"삼성중공업(주)거제","하이에어",23
"4122","0","정상","40","VA",3,4638,"A","S-10S","SS",17751,7,4,"삼성중공업(주)거제","하이에어",23
"4123","0","정상","40","VA",3,4638,"A","S-10S","SS",17425,7,4,"삼성중공업(주)거제","하이에어",28
"4125","0","정상","30","VA",1,3366,"B","S-80S","SS",7913,5,2,"삼성중공업(주)거제","하이에어",23
"4126","0","정상","30","VA",1,84,"B","S-80S","SS",16492,3,2,"삼성중공업(주)거제","하이에어",23
"4128","1","정상","30","VA",1,4638,"B","S-80S","SS",10890,4,0,"성일","하이에어",22
"4129","0","정상","30","VA",1,4638,"B","S-80S","SS",8365,2,0,"삼성중공업(주)거제","하이에어",27
"4130","0","정상","30","VA",1,2457,"B","S-80S","SS",5064,4,1,"삼성중공업(주)거제","하이에어",23
"4131","0","정상","40","DM",2,4638,"B","S-10S","SS",10750,4,2,"삼성중공업(주)거제","하이에어",24
"4132","0","정상","30","VA",2,4638,"B","S-10S","SS",12602,6,3,"삼성중공업(주)거제","하이에어",22
"4133","0","정상","30","VA",2,4638,"B","S-10S","SS",13125,7,4,"삼성중공업(주)거제","하이에어",24
"4134","0","정상","30","VA",2,4638,"B","S-10S","SS",10521,3,1,"삼성중공업(주)거제","하이에어",30
"4137","1","정상","40","VA",2,1443,"B","S-10S","SS",12235,9,7,"성일","하이에어",21
"4139","0","정상","30","WD",2,4019,"B","S-10S","SS",11640,6,3,"삼성중공업(주)거제","하이에어",22
"4140","0","정상","30","WD",2,4638,"B","S-10S","SS",12480,5,2,"삼성중공업(주)거제","하이에어",30
"4141","1","정상","30","WD",2,3964,"B","S-10S","SS",9704,5,3,"성일","하이에어",22
"4142","1","정상","30","VA",4,4638,"B","S-10S","SS",1913,10,7,"성일","하이에어",21
"4143","1","정상","40","VA",0.5,2512,"A","S-80S","SS",1540,4,2,"성일","하이에어",20
"4144","1","정상","40","VA",0.75,2512,"A","S-80S","SS",2643,3,1,"성일","하이에어",21
"4145","1","정상","30","VA",0.5,4638,"B","S-80S","SS",5252,3,0,"성일","하이에어",22
"4146","0","정상","30","VA",0.75,26,"B","S-80S","SS",20437,4,2,"삼성중공업(주)거제","하이에어",23
"4147","1","정상","30","VA",0.75,4274,"B","S-80S","SS",9569,5,1,"성일","하이에어",22
"4148","1","정상","30","VA",0.75,4638,"B","S-80S","SS",8284,3,0,"성일","하이에어",22
"4150","0","정상","30","VA",0.75,2921,"B","S-80S","SS",8875,6,2,"삼성중공업(주)거제","하이에어",21
"4151","1","정상","30","VA",0.75,4638,"B","S-80S","SS",8284,3,0,"성일","하이에어",22
"4152","0","정상","30","VA",1,4085,"B","S-80S","SS",9024,6,3,"삼성중공업(주)거제","하이에어",21
"4153","1","정상","30","VA",1,4638,"B","S-80S","SS",10104,4,1,"성일","하이에어",22
"4154","0","정상","30","VA",1,322,"B","S-80S","SS",19494,4,2,"삼성중공업(주)거제","하이에어",27
"4155","0","정상","30","WD",1,1952,"B","S-80S","SS",1496,3,2,"삼성중공업(주)거제","하이에어",23
"4156","0","정상","30","WD",1,3888,"B","S-80S","SS",11386,4,3,"삼성중공업(주)거제","하이에어",27
"4157","1","정상","40","VA",1,2512,"A","S-80S","SS",4471,3,1,"성일","하이에어",21
"4158","1","정상","50","OL",2,5060,"A","S-10S","SS",18123,3,2,"건일산업(주)","건일산업(주)",22
"4159","0","정상","40","OL",2,3799,"A","S-10S","SS",12753,8,5,"성일","하이에어",22
"4161","0","정상","30","VA",2,4638,"A","S-10S","SS",12441,5,2,"삼성중공업(주)거제","하이에어",24
"4164","0","정상","30","VA",3,4638,"A","S-10S","SS",16149,5,2,"삼성중공업(주)거제","하이에어",27
"4165","0","정상","40","VA",3,105,"A","S-10S","SS",8030,6,4,"삼성중공업(주)거제","하이에어",27
"4166","0","정상","40","VA",3,244,"A","S-10S","SS",2946,3,2,"삼성중공업(주)거제","하이에어",28
"4167","1","정상","50","OL",4,1546,"A","S-10S","SS",15041,5,3,"성일","하이에어",22
"4168","1","정상","50","OL",4,4930,"A","S-10S","SS",3202,2,1,"건일산업(주)","건일산업(주)",22
"4169","0","정상","40","VA",6,4638,"A","S-10S","SS",6175,6,3,"삼성중공업(주)거제","하이에어",27
"4170","0","정상","40","VA",6,1308,"A","S-10S","SS",17778,6,4,"삼성중공업(주)거제","하이에어",23
"4171","1","정상","40","VA",6,4638,"A","S-10S","SS",4067,8,5,"성일","하이에어",21
"4172","1","정상","30","VA",1,302,"B","S-80S","SS",20629,3,1,"성일","하이에어",22
"4173","0","정상","30","VA",1,4638,"B","S-80S","SS",9473,3,0,"삼성중공업(주)거제","하이에어",24
"4174","1","정상","40","VA",2,215,"B","S-10S","SS",3330,6,5,"성일","하이에어",21
"4175","0","정상","30","VA",2,4274,"B","S-10S","SS",12247,8,5,"삼성중공업(주)거제","하이에어",24
"4176","0","정상","30","VA",2,1246,"B","S-10S","SS",3255,3,1,"삼성중공업(주)거제","하이에어",24
"4177","0","정상","30","VA",2,398,"B","S-10S","SS",2768,6,4,"삼성중공업(주)거제","하이에어",24
"4178","0","정상","30","FWL",3,704,"B","S-40S","SS",9743,3,1,"삼성중공업(주)거제","하이에어",28
"4179","1","정상","40","OL",1,5200,"B","S-80S","SS",16554,5,4,"성일","하이에어",21
"4180","0","정상","40","OL",1,2393,"B","S-80S","SS",6307,3,1,"성일","하이에어",22
"4181","0","정상","40","OL",1,1982,"B","S-80S","SS",5368,2,0,"성일","하이에어",22
"4183","1","정상","40","DN",0.75,4805,"A","S-80S","SS",14361,9,8,"성일","하이에어",21
"4184","1","정상","40","DN",0.75,3127,"A","S-80S","SS",1308,5,4,"성일","하이에어",21
"4185","1","정상","40","DN",0.75,3127,"A","S-80S","SS",1308,5,4,"성일","하이에어",21
"4187","0","정상","30","DN",1,4638,"A","S-80S","SS",14767,6,2,"성일","하이에어",22
"4188","1","정상","30","DN",1,2948,"A","S-80S","SS",8388,7,4,"성일","하이에어",22
"4189","1","정상","30","DN",1,4373,"A","S-80S","SS",10731,4,1,"성일","하이에어",22
"4190","1","정상","30","DN",1,4638,"A","S-80S","SS",11497,6,2,"성일","하이에어",22
"4191","1","정상","40","DN",0.75,3132,"A","S-80S","SS",7241,5,4,"성일","하이에어",21
"4192","1","정상","40","DN",0.75,3132,"A","S-80S","SS",1085,3,2,"성일","하이에어",21
"4193","1","정상","40","FDT",4,917,"B","S-10S","SS",7995,4,3,"성일","하이에어",20
"4194","0","정상","50","FDT",4,4638,"A","S-10S","SS",2565,7,4,"성일","하이에어",29
"4195","0","정상","40","FDT",4,4638,"B","S-10S","SS",18837,7,4,"성일","하이에어",29
"4196","1","정상","40","DN",0.75,1131,"A","S-80S","SS",78,1,0,"건일산업(주)","하이에어",20
"4197","1","정상","40","DN",0.75,1123,"A","S-80S","SS",74,1,0,"건일산업(주)","하이에어",20
"4201","1","정상","50","DN",0.75,1,"A","S-80","CS",11406,9,0,"건일산업(주)","건일산업(주)",32
"4202","1","정상","50","AU",2,1390,"A","S-80","CS",9433,4,2,"건일산업(주)","건일산업(주)",21
"4203","1","정상","40","DN",2,2597,"A","S-80","CS",10538,2,1,"(주)성광테크","(주)성광테크",21
"4205","0","정상","40","CWR",0.75,4961,"A","S-80","CS",958,2,1,"성일SIM함안공장","성일SIM함안공장",28
"4207","1","정상","40","CWS",1,1023,"A","S-80","CS",7233,4,3,"(주)성광테크","(주)성광테크",21
"4208","1","정상","40","NH",3,4578,"A","S-40","CS",9901,10,7,"(주)성광테크","(주)성광테크",31
"4209","0","정상","40","NH",0.5,4917,"A","S-80","CS",1059,2,1,"성일SIM함안공장","하이에어",36
"4210","1","정상","50","CWR",1,778,"B","S-80","CS",8758,7,6,"해승케이피피","해승케이피피",25
"4211","1","정상","40","NH",2,2206,"B","S-80","CS",10406,4,3,"(주)성광테크","(주)성광테크",31
"4213","0","정상","50","CWS",3,295,"B","S-40","CS",15487,7,6,"(주)성광테크","(주)성광테크",29
"4217","1","정상","50","AU",1,4612,"A","S-80","CS",11318,3,2,"건일산업(주)","건일산업(주)",32
"4218","1","정상","50","AU",1,3911,"A","S-80","CS",1118,1,0,"건일산업(주)","건일산업(주)",21
"4220","1","정상","40","CWR",1,1026,"A","S-80","CS",11195,6,5,"(주)성광테크","(주)성광테크",21
"4221","0","정상","50","NH",3,3893,"A","S-40","CS",6095,3,2,"성일SIM함안공장","하이에어",47
"4224","1","정상","40","NH",3,5183,"A","S-40","CS",13465,10,7,"(주)성광테크","(주)성광테크",31
"4225","1","정상","40","NH",3,3080,"A","S-40","CS",8267,5,4,"(주)성광테크","(주)성광테크",37
"4226","0","정상","40","NH",0.75,4950,"A","S-80","CS",1112,2,1,"성일SIM함안공장","성일SIM함안공장",28
"4227","0","정상","50","N",4,3064,"A","S-40","CS",10132,4,3,"성일SIM함안공장","하이에어",47
"4233","0","정상","50","CWS",2,914,"B","S-80","CS",12435,7,6,"(주)성광테크","(주)성광테크",29
"4234","0","정상","3B","DN",2,1776,"B","S-80","CS",15125,5,4,"(주)성광테크","(주)성광테크",29
"4236","0","정상","40","DN",2,5093,"B","S-80","CS",1363,3,0,"(주)성광테크","(주)성광테크",29
"4238","0","정상","40","DN",2,5117,"B","S-80","CS",4576,6,2,"(주)성광테크","(주)성광테크",29
"4240","0","정상","40","DN",2,5125,"B","S-80","CS",3422,5,2,"(주)성광테크","(주)성광테크",29
"4241","0","정상","3B","DN",2,642,"B","S-80","CS",5504,5,4,"해승케이피피","해승케이피피",20
"4246","1","정상","50","NH",2,61,"A","S-80","CS",8734,8,7,"건일산업(주)","건일산업(주)",22
"4248","1","정상","40","CWS",3,3941,"A","S-40","CS",5450,5,3,"(주)성광테크","(주)성광테크",21
"4249","1","정상","40","CWR",4,4909,"A","S-40","CS",13373,6,4,"(주)성광테크","(주)성광테크",21
"4251","1","정상","40","CWR",1,4917,"A","S-80","CS",1022,2,1,"(주)성광테크","(주)성광테크",21
"4256","1","정상","40","CWR",1,4917,"A","S-80","CS",1022,2,1,"(주)성광테크","(주)성광테크",21
"4257","1","정상","40","CWS",4,4802,"A","S-40","CS",10381,5,3,"(주)성광테크","(주)성광테크",21
"4259","1","정상","40","CWS",4,4810,"A","S-40","CS",13630,6,4,"(주)성광테크","(주)성광테크",21
"4260","1","정상","50","AU",2,4638,"B","S-80","CS",16109,2,1,"건일산업(주)","건일산업(주)",29
"4263","1","정상","50","CWR",3,3369,"B","S-40","CS",18509,3,2,"건일산업(주)","건일산업(주)",43
"4264","1","정상","50","CWR",3,3864,"B","S-40","CS",5917,6,5,"건일산업(주)","건일산업(주)",29
"4265","1","정상","50","CWR",3,3370,"B","S-40","CS",18510,3,2,"건일산업(주)","건일산업(주)",29
"4269","1","정상","50","CWR",3,3370,"B","S-40","CS",18909,6,5,"건일산업(주)","건일산업(주)",29
"4271","0","정상","3B","CWS",3,291,"B","S-40","CS",12648,6,3,"해승케이피피","해승케이피피",20
"4272","0","정상","3B","CWS",3,2189,"B","S-40","CS",17534,4,3,"(주)성광테크","(주)성광테크",29
"4279","1","정상","50","CWS",3,4572,"B","S-40","CS",9235,8,7,"건일산업(주)","건일산업(주)",43
"4281","1","정상","50","CWS",3,3370,"B","S-40","CS",19741,5,4,"건일산업(주)","건일산업(주)",43
"4282","1","정상","50","CWS",3,4812,"B","S-40","CS",9207,7,6,"건일산업(주)","건일산업(주)",43
"4283","1","정상","50","NH",3,2217,"B","S-40","CS",18905,6,5,"(주)성광테크","(주)성광테크",28
"4284","1","정상","50","AI",4,1047,"B","S-40","CS",6247,2,1,"건일산업(주)","건일산업(주)",46
"4285","1","정상","40","CWR",4,4936,"B","S-40","CS",12896,7,5,"해승케이피피","해승케이피피",35
"4288","1","정상","50","CWR",4,4502,"B","S-40","CS",2432,4,3,"(주)성광테크","(주)성광테크",23
"4292","1","정상","50","CWR",4,4010,"B","S-40","CS",3538,9,8,"(주)성광테크","(주)성광테크",23
"4293","1","정상","40","CWR",4,2467,"B","S-40","CS",19960,8,7,"(주)성광테크","(주)성광테크",21
"4294","0","정상","40","CWS",4,233,"B","S-40","CS",14643,5,4,"해승케이피피","해승케이피피",27
"4295","0","정상","40","CWS",4,138,"B","S-40","CS",17416,9,8,"해승케이피피","해승케이피피",20
"4299","1","정상","50","CWS",4,4502,"B","S-40","CS",2432,4,3,"건일산업(주)","건일산업(주)",29
"4300","0","정상","50","CWS",4,155,"B","S-40","CS",15266,8,7,"성일SIM함안공장","하이에어",44
"4301","1","정상","40","CWS",4,696,"B","S-40","CS",17300,6,4,"(주)성광테크","(주)성광테크",21
"4302","1","정상","50","CWS",4,4197,"B","S-40","CS",3003,7,6,"건일산업(주)","건일산업(주)",29
"4304","1","정상","40","CWS",4,696,"B","S-40","CS",17289,6,4,"(주)성광테크","(주)성광테크",21
"4306","1","정상","50","CWS",4,4502,"B","S-40","CS",2432,4,3,"건일산업(주)","건일산업(주)",29
"4308","1","정상","50","N",4,1047,"B","S-40","CS",6247,2,1,"건일산업(주)","건일산업(주)",46
"4309","0","정상","40","CWS",6,178,"B","S-40","CS",21572,8,7,"해승케이피피","해승케이피피",20
"4312","1","정상","50","CWR",2,483,"B","S-80","CS",2368,2,1,"(주)성광테크","(주)성광테크",23
"4313","1","정상","50","CWS",2,604,"B","S-80","CS",11667,7,6,"(주)성광테크","(주)성광테크",20
"4315","1","정상","50","AI",0.75,930,"A","S-80","CS",14144,1,0,"건일산업(주)","건일산업(주)",28
"4316","0","정상","50","AI",0.75,628,"A","S-80","CS",11327,1,0,"성일SIM함안공장","하이에어",44
"4319","1","정상","40","CWR",1,3941,"A","S-80","CS",19288,5,4,"성일SIM함안공장","성일SIM함안공장",24
"4320","1","정상","40","CWR",1,149,"A","S-80","CS",21198,5,4,"성일SIM함안공장","성일SIM함안공장",24
"4321","0","정상","40","CWR",2,293,"A","S-80","CS",2105,4,3,"성일SIM함안공장","하이에어",38
"4323","0","정상","40","CWR",2,4905,"A","S-80","CS",19340,4,3,"성일SIM함안공장","하이에어",38
"4324","1","정상","40","CWS",1,4721,"A","S-80","CS",20393,5,4,"성일SIM함안공장","성일SIM함안공장",24
"4326","0","정상","40","CWS",2,293,"A","S-80","CS",1549,2,1,"성일SIM함안공장","하이에어",44
"4330","1","정상","50","CWS",1,5061,"A","S-80","CS",21184,7,6,"건일산업(주)","건일산업(주)",22
"4331","1","정상","50","CWS",1,1131,"A","S-80","CS",7274,3,2,"건일산업(주)","건일산업(주)",21
"4332","1","정상","50","NH",1,2115,"A","S-80","CS",14173,3,2,"건일산업(주)","건일산업(주)",42
"4333","1","정상","40","NH",0.75,4917,"A","S-80","CS",1144,2,1,"성일SIM함안공장","성일SIM함안공장",24
"4334","1","정상","40","NH",0.5,4917,"A","S-80","CS",1094,2,1,"성일SIM함안공장","성일SIM함안공장",24
"4338","1","정상","40","N",0.5,4917,"A","S-80","CS",1059,2,1,"성일SIM함안공장","성일SIM함안공장",24
"4339","1","정상","40","N",3,1121,"A","S-40","CS",4766,4,3,"성일SIM함안공장","성일SIM함안공장",24
"4340","1","정상","40","N",0.5,4917,"A","S-80","CS",1059,2,1,"성일SIM함안공장","성일SIM함안공장",24
"4343","1","정상","3B","AI",0.75,144,"B","S-80","CS",20486,8,7,"성일SIM함안공장","성일SIM함안공장",30
"4347","1","정상","40","AI",0.75,1363,"B","S-80","CS",14348,1,0,"성일SIM함안공장","성일SIM함안공장",24
"4348","1","정상","50","AU",1,2781,"B","S-80","CS",3465,5,4,"건일산업(주)","건일산업(주)",29
"4349","1","정상","50","N",1,3154,"B","S-80","CS",3517,3,2,"건일산업(주)","건일산업(주)",32
"4350","1","정상","40","CWR",2,5128,"B","S-80","CS",3481,8,7,"성일SIM함안공장","성일SIM함안공장",24
"4351","0","정상","3B","CWR",2,112,"B","S-80","CS",10453,9,8,"성일SIM함안공장","하이에어",38
"4352","0","정상","3B","CWR",2,3014,"B","S-80","CS",15515,8,7,"성일SIM함안공장","하이에어",38
"4353","0","정상","3B","CWR",2,704,"B","S-80","CS",5741,3,2,"성일SIM함안공장","하이에어",44
"4354","0","정상","3B","CWR",2,1622,"B","S-80","CS",10502,4,3,"성일SIM함안공장","하이에어",38
"4355","0","정상","3B","CWR",2,685,"B","S-80","CS",9470,6,5,"성일SIM함안공장","하이에어",38
"4356","0","정상","3B","CWR",2,4638,"B","S-80","CS",17285,4,3,"성일SIM함안공장","하이에어",44
"4359","0","정상","3B","CWS",2,101,"B","S-80","CS",3205,6,5,"성일SIM함안공장","하이에어",38
"4364","0","정상","3B","CWS",2,4274,"B","S-80","CS",15653,3,2,"성일SIM함안공장","하이에어",44
"4367","0","정상","3B","CWS",0.75,4917,"B","S-80","CS",952,2,1,"성일SIM함안공장","하이에어",38
"4369","1","정상","40","NH",2,844,"B","S-80","CS",9716,6,4,"성일SIM함안공장","성일SIM함안공장",27
"4370","1","정상","3B","NH",2,380,"B","S-80","CS",4462,3,2,"성일SIM함안공장","성일SIM함안공장",31
"4371","1","정상","40","N",3,875,"B","S-40","CS",17367,7,6,"성일SIM함안공장","성일SIM함안공장",22
"4372","1","정상","40","N",3,174,"B","S-40","CS",10925,5,4,"성일SIM함안공장","성일SIM함안공장",22
"4373","1","정상","40","N",3,609,"B","S-40","CS",14875,7,6,"성일SIM함안공장","성일SIM함안공장",22
"4374","1","정상","40","N",3,474,"B","S-40","CS",13183,6,5,"성일SIM함안공장","성일SIM함안공장",22
"4375","1","정상","3B","DN",2,1932,"B","S-80","CS",12370,8,7,"성일SIM함안공장","성일SIM함안공장",24
"4376","1","정상","3B","DN",2,3930,"B","S-80","CS",2939,6,5,"성일SIM함안공장","성일SIM함안공장",34
"4377","1","정상","50","DN",2,2211,"B","S-80","CS",13576,6,5,"(주)성광테크","(주)성광테크",22
"4378","1","정상","3B","DN",2,30,"B","S-80","CS",6273,5,4,"성일SIM함안공장","성일SIM함안공장",34
"4379","1","정상","50","DN",2,384,"B","S-80","CS",10075,9,8,"(주)성광테크","(주)성광테크",22
"4380","1","정상","50","DN",2,2907,"B","S-80","CS",13960,6,5,"(주)성광테크","(주)성광테크",22
"4381","1","정상","50","DN",2,2211,"B","S-80","CS",13223,6,5,"(주)성광테크","(주)성광테크",22
"4382","1","정상","3B","DN",2,5267,"B","S-80","CS",6006,5,4,"성일SIM함안공장","성일SIM함안공장",34
"4383","1","정상","50","DN",2,390,"B","S-80","CS",8744,8,7,"(주)성광테크","(주)성광테크",22
"4384","1","정상","50","DN",2,2906,"B","S-80","CS",13958,6,5,"(주)성광테크","(주)성광테크",22
"4385","1","정상","3B","DN",2,5045,"B","S-80","CS",4546,5,4,"성일SIM함안공장","성일SIM함안공장",34
"4386","1","정상","40","AU",1,20,"A","S-80","CS",1658,6,5,"성일SIM함안공장","성일SIM함안공장",24
"4387","1","정상","40","AU",1,3911,"A","S-80","CS",1118,1,0,"성일SIM함안공장","성일SIM함안공장",28
"4388","1","정상","40","OL",3,173,"A","S-10S","SS",4854,4,3,"성일","하이에어",22
"4390","0","정상","3B","DM",2,4422,"B","S-10S","SS",10311,3,1,"삼성중공업(주)거제","하이에어",22
"4391","0","정상","50","DM",2,2224,"B","S-10S","SS",8651,8,6,"삼성중공업(주)거제","하이에어",34
"4392","0","정상","50","VA",2,2085,"B","S-10S","SS",5903,4,2,"삼성중공업(주)거제","하이에어",40
"4393","0","정상","50","WD",2,3698,"B","S-10S","SS",8885,3,1,"삼성중공업(주)거제","하이에어",21
"4397","0","정상","50","VA",4,1763,"B","S-10S","SS",10458,2,1,"삼성중공업(주)거제","하이에어",27
"4398","0","정상","50","VA",6,1964,"B","S-10S","SS",17095,4,2,"삼성중공업(주)거제","하이에어",23
"4400","0","정상","3B","VA",6,3507,"B","S-10S","SS",20773,6,4,"삼성중공업(주)거제","하이에어",28
"4401","0","정상","3B","VA",6,2638,"B","S-10S","SS",19003,5,3,"삼성중공업(주)거제","하이에어",27
"4402","0","정상","50","WD",1,3075,"A","S-80S","SS",7054,3,2,"삼성중공업(주)거제","하이에어",27
"4403","0","정상","50","DM",2,102,"A","S-10S","SS",14179,1,0,"삼성중공업(주)거제","하이에어",39
"4404","0","정상","50","DM",2,1613,"A","S-10S","SS",2592,3,2,"삼성중공업(주)거제","하이에어",37
"4405","0","정상","50","PW",2,2842,"A","S-10S","SS",10758,7,6,"삼성중공업(주)거제","하이에어",37
"4406","0","정상","50","PW",2,918,"A","S-10S","SS",3154,3,1,"삼성중공업(주)거제","하이에어",37
"4407","0","정상","50","WD",3,1391,"A","S-10S","SS",8534,4,2,"삼성중공업(주)거제","하이에어",30
"4408","0","정상","40","DM",2,2199,"B","S-10S","SS",11974,7,4,"삼성중공업(주)거제","하이에어",23
"4409","0","정상","50","DM",2,342,"B","S-10S","SS",2667,4,2,"삼성중공업(주)거제","하이에어",21
"4410","0","정상","50","OL",2,1820,"B","S-10S","SS",5988,7,6,"삼성중공업(주)거제","하이에어",28
"4411","0","정상","50","OL",2,707,"B","S-10S","SS",3888,7,6,"삼성중공업(주)거제","하이에어",23
"4413","0","정상","40","VA",6,4638,"B","S-10S","SS",2960,6,3,"삼성중공업(주)거제","하이에어",27
"4414","1","정상","40","OL",3,283,"A","S-10S","SS",6321,5,4,"성일","하이에어",22
"4415","0","정상","50","VA",1,1427,"B","S-80S","SS",1606,3,1,"삼성중공업(주)거제","하이에어",39
"4416","0","정상","50","VA",1,1427,"B","S-80S","SS",1606,3,1,"삼성중공업(주)거제","하이에어",39
"4419","0","정상","3B","OL",1,73,"B","S-80S","SS",14359,3,2,"삼성중공업(주)거제","하이에어",39
"4422","0","정상","50","VA",6,957,"B","S-10S","SS",12159,2,1,"삼성중공업(주)거제","하이에어",30
"4424","1","정상","3B","DN",1,256,"B","S-80S","SS",20525,4,2,"성일","하이에어",22
"4425","1","정상","3B","DN",1,5237,"B","S-80S","SS",18149,3,1,"성일","하이에어",22
"4426","1","정상","3B","DN",1,5115,"B","S-80S","SS",21224,7,5,"성일","하이에어",22
"4428","1","정상","3B","DN",1,110,"B","S-80S","SS",20532,5,3,"성일","하이에어",22
"4429","1","정상","3B","DN",1,5044,"B","S-80S","SS",20415,7,5,"성일","하이에어",22
"4431","1","정상","3B","DN",1,184,"B","S-80S","SS",20614,5,3,"성일","하이에어",22
"4432","1","정상","3B","DN",1,4930,"B","S-80S","SS",19228,4,2,"성일","하이에어",22
"4433","1","정상","3B","DN",1,5056,"B","S-80S","SS",19297,5,3,"성일","하이에어",22
"4435","1","정상","40","OL",1,1119,"A","S-80S","SS",7331,5,4,"성일","하이에어",22
"4436","1","정상","3B","OL",1,5277,"B","S-80S","SS",2056,7,5,"성일","하이에어",22
"4438","0","정상","50","FDT",4,4274,"B","S-10S","SS",18736,7,5,"성일","하이에어",20
"4439","0","정상","3B","FW",6,4638,"B","T-6.35","CN",13060,4,2,"부흥","하이에어",21
"4440","1","정상","50","FW",6,4908,"A","T-6.35","CN",15040,5,3,"부흥","하이에어",20
"4441","1","정상","50","FW",4,1,"A","T-6.35","CN",3141,2,1,"부흥","하이에어",20
"4445","1","정상","40","NH",2,1,"A","S-80","CS",16509,3,2,"건일산업(주)","건일산업(주)",26
"4446","1","정상","40","NH",2,470,"A","S-80","CS",8665,6,5,"건일산업(주)","하이에어",30
"4447","1","정상","40","NH",0.5,4917,"A","S-80","CS",1094,2,1,"건일산업(주)","건일산업(주)",21
"4450","1","정상","50","AU",1,3911,"B","S-80","CS",1118,1,0,"건일산업(주)","건일산업(주)",22
"4453","1","정상","50","DN",2,2993,"B","S-80","CS",13377,4,3,"건일산업(주)","삼녹",29
