"","Emergency","ApplyLeadTime","STG","Service","DIA","Length","Pass","Sch","Material","Weight","MemberCount","JointCount","Making_Co","After2_Co","PaintingLT"
"2564","1","정상","50","WD",1,2122,"A","S-80S","SS",1217,3,2,"건일산업(주)","하이에어",26
"2565","1","정상","50","WD",1,3121,"A","S-80S","SS",1028,1,0,"건일산업(주)","하이에어",23
"2566","1","정상","50","CDD",1,2284,"B","S-80S","SS",8747,4,1,"건일산업(주)","하이에어",23
"2567","1","정상","30","CDD",1,968,"B","S-80S","SS",19433,4,3,"삼성중공업(주)거제","성도",22
"2569","1","정상","50","FCH",1,2641,"B","S-80S","SS",4886,2,0,"삼성중공업(주)거제","성도",35
"2570","1","정상","30","FCH",1,276,"B","S-80S","SS",18100,5,4,"삼성중공업(주)거제","성도",22
"2571","1","정상","30","PG",0.5,1,"A","S-80S","SS",7301,4,3,"삼성중공업(주)거제","성도",24
"2572","1","정상","30","PG",0.5,1,"A","S-80S","SS",7301,4,3,"삼성중공업(주)거제","성도",24
"2574","1","정상","30","PL",4,4762,"A","S-40S","SS",10247,11,10,"삼성중공업(주)거제","성도",21
"2575","1","정상","50","PL",4,4638,"A","S-10S","SS",18804,2,1,"건일산업(주)","하이에어",23
"2577","1","정상","50","PL",1.5,4035,"A","S-80S","SS",12263,4,3,"건일산업(주)","하이에어",23
"2579","1","정상","40","PM",4,4819,"A","S-40S","SS",18900,8,7,"삼성중공업(주)거제","성도",21
"2580","1","정상","30","PM",4,3891,"A","S-40S","SS",18463,9,8,"삼성중공업(주)거제","성도",24
"2581","1","정상","30","PL",3,2899,"B","S-40S","SS",20086,9,8,"삼성중공업(주)거제","성도",21
"2582","1","정상","30","PL",6,888,"B","S-40S","SS",21696,4,3,"건일산업(주)","하이에어",20
"2583","1","정상","30","DF",2,3098,"A","S-10S","SS",1673,8,10,"삼성중공업(주)거제","성도",23
"2584","1","정상","30","DF",0.5,1,"A","S-80S","SS",7301,4,3,"삼성중공업(주)거제","성도",24
