"","Emergency","ApplyLeadTime","STG","Service","DIA","Length","Pass","Sch","Material","Weight","MemberCount","JointCount","Making_Co","MakingLT"
"12693","1","준긴급","30","FW",4,1,"A","T-6.35","CN",3141,2,1,"부흥",25
"12694","1","준긴급","30","FW",6,839,"B","T-6.35","CN",21133,5,4,"부흥",25
"12695","1","준긴급","30","FW",6,1591,"B","T-6.35","CN",2392,4,3,"부흥",25
"12696","1","준긴급","30","FW",6,759,"B","T-6.35","CN",19759,5,4,"부흥",25
"12697","1","정상","50","FA",6,448,"","T-6.35","CN",17089,2,1,"부흥",28
"12698","1","정상","3B","FA",6,4638,"","T-6.35","CN",8912,4,3,"부흥",31
"12699","1","정상","3B","FA",6,4638,"","T-6.35","CN",13306,5,4,"부흥",31
"12700","1","정상","50","FA",6,1615,"","T-6.35","CN",20850,2,1,"부흥",28
"12701","1","정상","3B","FW",6,4127,"","T-6.35","CN",9308,6,5,"부흥",31
"12702","1","정상","3B","FW",6,1813,"","T-6.35","CN",1850,4,3,"부흥",38
"12703","1","정상","30","AU",1,254,"A","S-80","CS",1575,6,5,"(주)성광테크",27
"12704","1","정상","30","AU",1,3911,"A","S-80","CS",1118,1,0,"(주)성광테크",27
"12705","1","정상","30","N",1,1169,"A","S-80","CS",2133,4,3,"(주)성광테크",25
"12706","1","정상","30","N",1,1128,"A","S-80","CS",1133,3,2,"(주)성광테크",25
"12707","1","정상","30","N",1,2123,"A","S-80","CS",1315,3,2,"(주)성광테크",34
"12708","1","정상","30","N",0.75,1023,"A","S-80","CS",977,2,1,"(주)성광테크",25
"12709","1","정상","30","AI",1,1023,"A","S-80","CS",1035,3,2,"(주)성광테크",25
"12710","1","정상","30","AI",1,3883,"A","S-80","CS",16320,4,3,"(주)성광테크",27
"12711","1","정상","40","AI",1,1023,"A","S-80","CS",46,1,0,"건일산업(주)",25
"12712","1","정상","40","AI",1,3109,"A","S-80","CS",11313,6,5,"건일산업(주)",30
"12713","1","정상","40","AI",1,1023,"A","S-80","CS",7359,4,3,"건일산업(주)",30
"12714","1","정상","40","AI",0.75,1023,"A","S-80","CS",977,2,1,"건일산업(주)",30
"12715","1","정상","30","AI",0.75,1023,"A","S-80","CS",977,2,1,"(주)성광테크",25
"12716","1","정상","30","AI",1,3883,"A","S-80","CS",16332,4,3,"(주)성광테크",27
"12717","1","정상","40","AI",1,1023,"A","S-80","CS",46,1,0,"건일산업(주)",25
"12718","1","정상","40","AI",1,3109,"A","S-80","CS",11313,6,5,"건일산업(주)",32
"12719","1","정상","40","AI",1,1023,"A","S-80","CS",7359,4,3,"(주)성광테크",17
"12720","1","정상","40","AI",0.75,1023,"A","S-80","CS",977,2,1,"건일산업(주)",25
"12721","1","정상","30","AI",0.75,1023,"A","S-80","CS",977,2,1,"(주)성광테크",25
"12722","1","정상","40","AI",1,1023,"A","S-80","CS",46,1,0,"건일산업(주)",18
"12723","1","정상","30","AI",1,1023,"A","S-80","CS",1026,3,2,"(주)성광테크",25
"12724","1","정상","30","AI",1,1023,"A","S-80","CS",1026,3,2,"(주)성광테크",25
"12725","1","정상","30","AI",1,4564,"A","S-80","CS",16446,4,3,"(주)성광테크",27
"12726","1","정상","40","AI",1,3109,"A","S-80","CS",11313,6,5,"건일산업(주)",32
"12727","1","정상","40","AI",1,1023,"A","S-80","CS",7359,4,3,"(주)성광테크",17
"12728","1","정상","40","AI",0.75,1023,"A","S-80","CS",977,2,1,"건일산업(주)",25
"12729","1","정상","30","AI",0.75,1023,"A","S-80","CS",977,2,1,"(주)성광테크",25
"12730","1","정상","40","AI",1.5,1030,"A","S-80","CS",1323,2,1,"건일산업(주)",18
"12731","1","정상","40","AI",1.5,1029,"A","S-80","CS",1319,2,1,"건일산업(주)",30
"12732","1","정상","40","AI",1.5,1,"A","S-80","CS",14128,3,2,"건일산업(주)",19
"12733","1","정상","40","AI",1.5,1030,"A","S-80","CS",1323,2,1,"건일산업(주)",25
"12734","1","정상","40","AI",1.5,1029,"A","S-80","CS",1319,2,1,"건일산업(주)",18
"12735","1","정상","50","AI",1.5,1,"A","S-80","CS",14128,3,2,"건일산업(주)",30
"12736","1","정상","40","AI",1.5,1030,"A","S-80","CS",1323,2,1,"건일산업(주)",28
"12737","1","정상","40","AI",1.5,1029,"A","S-80","CS",1319,2,1,"건일산업(주)",30
"12738","1","정상","50","AI",1.5,1,"A","S-80","CS",14128,3,2,"건일산업(주)",27
"12739","1","정상","40","AI",1.5,1023,"A","S-80","CS",14167,5,4,"(주)성광테크",17
"12740","1","정상","40","AI",1.5,1023,"A","S-80","CS",14167,5,4,"건일산업(주)",30
"12741","1","정상","40","AI",2,4962,"A","S-80","CS",2691,5,1,"(주)성광테크",31
"12742","1","정상","30","DH",2,3314,"A","S-80","CS",17254,9,8,"성일SIM함안공장",35
"12743","1","정상","30","DH",2,3314,"A","S-80","CS",16788,9,8,"(주)성광테크",32
"12744","1","정상","40","N",2,3041,"A","S-80","CS",5420,4,3,"건일산업(주)",35
"12745","1","정상","40","N",2,3041,"A","S-80","CS",5420,4,3,"(주)성광테크",30
"12746","1","정상","30","AU",1,404,"B","S-80","CS",1654,5,4,"건일산업(주)",22
"12747","1","정상","30","AU",1,4893,"B","S-80","CS",14306,4,3,"(주)성광테크",27
"12748","1","정상","30","N",1,413,"B","S-80","CS",2922,7,6,"건일산업(주)",17
"12749","1","정상","30","AI",1.5,968,"B","S-80","CS",4855,6,5,"(주)성광테크",34
"12750","1","정상","30","AI",1.5,968,"B","S-80","CS",4855,6,5,"(주)성광테크",34
"12751","1","정상","40","AI",1.5,968,"B","S-80","CS",4855,6,5,"건일산업(주)",32
"12752","1","정상","40","AI",1.5,1023,"A","S-80","CS",14167,5,4,"(주)성광테크",24
"12753","1","정상","40","AI",2,1334,"B","S-80","CS",8694,6,5,"건일산업(주)",28
"12754","1","정상","40","AI",2,3166,"B","S-80","CS",15403,9,8,"건일산업(주)",37
"12755","1","정상","40","AI",2,966,"B","S-80","CS",13177,8,7,"건일산업(주)",32
"12756","1","정상","30","AI",2,4483,"B","S-80","CS",17110,6,5,"건일산업(주)",17
"12757","1","정상","30","AI",1,1023,"B","S-80","CS",1061,2,1,"건일산업(주)",13
"12758","1","정상","30","AI",2,4742,"B","S-80","CS",5313,8,7,"건일산업(주)",17
"12759","1","정상","40","AI",2,4962,"B","S-80","CS",3350,7,6,"건일산업(주)",23
"12760","1","정상","30","AI",2,4930,"B","S-80","CS",5247,7,4,"건일산업(주)",17
"12761","1","정상","40","AU",2,1368,"B","S-80","CS",9263,4,3,"건일산업(주)",32
"12762","1","정상","30","AU",2,1875,"B","S-80","CS",7716,2,1,"건일산업(주)",22
"12763","1","정상","30","AU",2,1368,"B","S-80","CS",9532,4,3,"건일산업(주)",13
"12764","1","정상","30","AU",2,2053,"B","S-80","CS",10426,6,5,"건일산업(주)",17
"12765","1","정상","40","DH",2,632,"B","S-80","CS",10307,8,7,"(주)성광테크",36
"12766","1","정상","40","DH",2,3276,"B","S-80","CS",17673,9,8,"건일산업(주)",34
"12767","1","정상","30","DH",2,3091,"B","S-80","CS",3168,8,7,"건일산업(주)",20
"12768","1","정상","30","DH",2,3103,"B","S-80","CS",4410,10,9,"(주)성광테크",32
"12769","1","정상","30","DH",2,1595,"B","S-80","CS",9540,5,4,"(주)성광테크",32
"12770","1","정상","30","DH",2,2110,"B","S-80","CS",21400,6,5,"건일산업(주)",20
"12771","1","정상","30","DH",2,75,"B","S-80","CS",6046,6,5,"건일산업(주)",20
"12772","1","정상","40","DH",2,187,"B","S-80","CS",7636,7,6,"건일산업(주)",23
"12773","1","정상","40","DH",2,1549,"B","S-80","CS",10901,7,6,"건일산업(주)",34
"12774","1","정상","30","DH",2,3141,"B","S-80","CS",18587,11,10,"건일산업(주)",33
"12775","1","정상","50","N",1.5,2469,"B","S-80","CS",12156,9,8,"건일산업(주)",17
"12776","1","정상","40","N",1.5,512,"B","S-80","CS",6297,6,5,"(주)성광테크",21
"12777","1","정상","30","N",1.5,733,"B","S-80","CS",3504,4,3,"건일산업(주)",17
"12778","1","정상","30","N",1.5,235,"B","S-80","CS",6013,8,7,"건일산업(주)",26
"12779","1","정상","30","N",2,1071,"B","S-80","CS",2090,6,5,"(주)성광테크",29
"12780","1","정상","40","N",2,1511,"B","S-80","CS",10584,7,6,"건일산업(주)",28
"12781","1","정상","30","N",2,3952,"B","S-80","CS",15773,6,5,"건일산업(주)",17
"12782","1","정상","30","N",2,1915,"B","S-80","CS",10203,7,6,"건일산업(주)",17
"12783","1","정상","50","PL",2,3936,"B","S-160","CS",18189,2,1,"건일산업(주)",19
"12784","1","정상","50","PL",2,2433,"B","S-160","CS",13181,1,0,"건일산업(주)",9
"12785","1","정상","50","PL",2,4589,"B","S-160","CS",1523,4,3,"건일산업(주)",20
"12786","1","정상","50","WM",2,2298,"B","S-160","CS",13556,2,1,"건일산업(주)",19
"12787","1","정상","50","WM",2,5041,"B","S-160","CS",6089,4,3,"건일산업(주)",19
"12788","1","정상","50","CM",3,1475,"B","S-80","CS",15464,3,1,"건일산업(주)",19
"12789","1","정상","50","PA",3,4620,"B","S-80","CS",4763,3,1,"건일산업(주)",20
"12790","1","정상","50","WM",3,1955,"B","S-80","CS",15689,2,1,"건일산업(주)",19
"12791","1","정상","50","WM",3,3137,"B","S-80","CS",3256,3,1,"건일산업(주)",19
"12792","1","정상","50","CM",4,1691,"B","S-40","CS",15231,2,1,"건일산업(주)",19
"12793","1","정상","50","CM",4,3893,"B","S-40","CS",1683,2,1,"건일산업(주)",21
"12794","1","정상","50","DH",4,1,"B","S-40","CS",1775,7,5,"건일산업(주)",27
"12795","1","정상","50","VA",4,1,"B","S-40","CS",19585,3,1,"건일산업(주)",19
"12796","1","정상","50","VA",4,1,"B","S-40","CS",17768,7,5,"건일산업(주)",27
"12797","1","정상","50","VA",6,1,"B","S-40","CS",3120,3,1,"건일산업(주)",23
"12798","1","정상","40","WM",2,1,"A","S-160","CS",20345,3,2,"건일산업(주)",34
"12799","1","정상","30","WM",2,3848,"A","S-160","CS",18788,9,8,"(주)성광테크",25
"12800","1","정상","40","WM",2,1,"A","S-160","CS",20345,3,2,"(주)성광테크",24
"12801","1","정상","30","WM",2,111,"A","S-160","CS",6270,5,4,"(주)성광테크",27
"12802","1","정상","40","WM",2,1,"A","S-160","CS",20345,3,2,"건일산업(주)",30
"12803","1","정상","40","WM",2,3959,"A","S-160","CS",18814,9,8,"건일산업(주)",33
"12804","1","정상","30","WM",2,4582,"A","S-160","CS",10110,7,6,"(주)성광테크",42
