"","block_group","block_location","ship_type","weight","business","workday_plan","workday_record"
"201","W","S","BC4",1,"CorpSDmasan",3,6
"202","W","P","BC4",1,"CorpSDmasan",3,6
"203","W","S","BC4",1,"CorpSDmasan",3,6
"204","A","C","BC4",116,"DHMC",5,10
"205","R","P","BC4",36,"MACGREGORKAYABA",7,4
"206","R","S","BC4",36,"MACGREGORKAYABA",7,4
"207","R","P","BC4",42,"MACGREGORKAYABA",7,4
"208","R","S","BC4",42,"MACGREGORKAYABA",7,4
"209","R","P","BC4",33,"MACGREGORKAYABA",7,4
"210","R","S","BC4",33,"MACGREGORKAYABA",7,4
"211","R","P","BC4",33,"MACGREGORKAYABA",7,4
"212","R","S","BC4",33,"MACGREGORKAYABA",7,4
"213","R","P","BC4",33,"MACGREGORKAYABA",7,4
"214","R","S","BC4",33,"MACGREGORKAYABA",7,4
"215","R","P","BC4",41,"MACGREGORKAYABA",7,4
"216","R","S","BC4",41,"MACGREGORKAYABA",7,4
"217","R","P","BC4",33,"MACGREGORKAYABA",7,4
"218","R","S","BC4",33,"MACGREGORKAYABA",7,4
"219","W","P","BC4",1,"CorpSDmasan",3,9
"220","W","S","BC4",1,"CorpSDmasan",3,9
"221","W","P","BC4",1,"CorpSDmasan",3,9
"222","W","S","BC4",1,"CorpSDmasan",3,9
"223","W","P","BC4",1,"CorpSDmasan",3,11
"224","W","S","BC4",1,"CorpSDmasan",3,11
"225","W","P","BC4",1,"CorpSDmasan",3,11
"226","W","S","BC4",1,"CorpSDmasan",3,11
"227","W","P","BC4",1,"CorpSDmasan",3,9
"228","W","S","BC4",1,"CorpSDmasan",3,9
"229","W","P","BC4",1,"CorpSDmasan",3,9
"230","W","S","BC4",1,"CorpSDmasan",3,9
"231","A","C","BC4",116,"DHMC",7,7
"232","B","P","BC4",50,"1YARD",5,28
"233","B","S","BC4",42,"1YARD",5,28
"234","B","P","BC4",125,"1YARD",5,28
"235","B","S","BC4",84,"1YARD",5,28
"236","B","P","BC4",64,"1YARD",5,10
"237","B","S","BC4",39,"1YARD",5,10
"238","B","P","BC4",131,"1YARD",5,3
"239","B","S","BC4",102,"1YARD",5,3
"240","B","P","BC4",66,"1YARD",5,10
"241","B","S","BC4",40,"1YARD",5,10
"242","B","P","BC4",133,"1YARD",5,10
"243","B","S","BC4",102,"1YARD",5,10
"244","B","P","BC4",63,"1YARD",5,14
"245","B","S","BC4",40,"1YARD",5,11
"246","B","P","BC4",134,"1YARD",5,10
"247","B","S","BC4",102,"1YARD",5,10
"248","B","P","BC4",49,"1YARD",5,13
"249","B","S","BC4",40,"1YARD",5,13
"250","B","P","BC4",139,"1YARD",5,13
"251","B","S","BC4",95,"1YARD",5,13
"252","B","P","BC4",40,"1YARD",5,19
"253","B","S","BC4",33,"1YARD",5,19
"254","B","P","BC4",120,"1YARD",5,19
"255","B","S","BC4",76,"1YARD",5,19
"256","B","P","BC4",35,"1YARD",5,21
"257","B","S","BC4",20,"1YARD",5,21
"258","B","P","BC4",76,"1YARD",5,21
"259","B","S","BC4",42,"1YARD",5,21
"260","C","P","BC4",5,"CorpSDmasan",4,16
"261","C","S","BC4",5,"CorpSDmasan",4,16
"262","C","P","BC4",5,"CorpSDmasan",4,16
"263","C","S","BC4",5,"CorpSDmasan",4,16
"264","C","P","BC4",5,"CorpSDmasan",4,8
"265","C","S","BC4",5,"CorpSDmasan",4,8
"266","C","P","BC4",5,"CorpSDmasan",4,6
"267","C","S","BC4",5,"CorpSDmasan",4,6
"268","C","P","BC4",5,"CorpSDmasan",4,11
"269","C","S","BC4",5,"CorpSDmasan",4,11
"270","C","P","BC4",5,"CorpSDmasan",4,4
"271","C","S","BC4",5,"CorpSDmasan",4,4
"272","C","P","BC4",5,"CorpSDmasan",4,14
"273","C","S","BC4",5,"CorpSDmasan",4,14
"274","C","P","BC4",5,"CorpSDmasan",4,15
"275","C","S","BC4",5,"CorpSDmasan",4,15
"276","C","P","BC4",5,"CorpSDmasan",4,13
"277","C","S","BC4",5,"CorpSDmasan",4,13
"278","C","C","BC4",6,"CorpSDmasan",4,16
"279","C","C","BC4",6,"CorpSDmasan",4,16
"280","C","C","BC4",7,"CorpSDmasan",4,16
"281","C","C","BC4",7,"CorpSDmasan",4,16
"282","C","C","BC4",7,"CorpSDmasan",4,8
"283","C","C","BC4",7,"CorpSDmasan",4,8
"284","C","C","BC4",7,"CorpSDmasan",4,6
"285","C","C","BC4",7,"CorpSDmasan",4,6
"286","C","C","BC4",7,"CorpSDmasan",4,11
"287","C","C","BC4",7,"CorpSDmasan",4,11
