,DIA,Length,Weight,MemberCount,JointCount,Emergency,ApplyLeadTime,BLOCK,STG,Service,NO_Serial,Problem,NO_Base,NO_SetPLT,Pass,Sch,Material,Making_Co,After2_Co,Distribution,PaintingLT
44,2.0,4616,46.6,6,5,1,정상,C020B,3B,AU,60.0,LT부족,SN2126TC020BPP03B0,PP039A1104,B,S-80,CS,건일산업(주),건일산업(주),조선물류,22.0
45,4.0,2999,63.788999999999994,7,6,1,정상,C020B,3B,AI,60.0,LT부족,SN2126TC020BPP03B0,PP039A1104,B,S-40,CS,건일산업(주),건일산업(주),조선물류,18.0
46,0.5,78,0.9259999999999999,2,1,1,정상,C020B,3B,N,60.0,LT부족,SN2126TC020BPP03B0,PP039A1105,B,S-80,CS,건일산업(주),건일산업(주),조선물류,23.0
47,0.5,75,0.922,2,1,1,정상,C020B,3B,AI,60.0,LT부족,SN2126TC020BPP03B0,PP039A1105,B,S-80,CS,건일산업(주),건일산업(주),조선물류,23.0
48,2.0,2973,48.231,10,9,1,정상,C020B,3B,N,60.0,LT부족,SN2126TC020BPP03B0,PP039A1104,B,S-80,CS,건일산업(주),건일산업(주),조선물류,23.0
49,2.0,6000,60.503,6,5,1,정상,C020B,3B,N,60.0,LT부족,SN2126TC020BPP03B0,PP039A1104,B,S-80,CS,건일산업(주),건일산업(주),조선물류,21.0
50,2.0,6000,62.751000000000005,6,5,1,정상,C020B,3B,AU,60.0,LT부족,SN2126TC020BPP03B0,PP039A1104,B,S-80,CS,건일산업(주),건일산업(주),조선물류,23.0
51,2.0,2388,46.7,5,4,1,준긴급,C020B,3B,CDW,60.0,기타,SN2126TC020BPP03B0,PP039A1104,B,S-160,CS,건일산업(주),건일산업(주),조선물류,17.0
52,2.0,3682,34.830999999999996,4,3,1,정상,C020B,3B,N,60.0,LT부족,SN2126TC020BPP03B0,PP039A1104,B,S-80,CS,건일산업(주),건일산업(주),조선물류,16.0
53,2.0,6000,71.67,3,2,1,준긴급,C020B,3B,CDW,60.0,기타,SN2126TC020BPP03B0,PP039A1104,B,S-160,CS,건일산업(주),건일산업(주),조선물류,19.0
54,2.0,3432,32.961,4,3,1,정상,C020B,3B,AU,60.0,LT부족,SN2126TC020BPP03B0,PP039A1104,B,S-80,CS,건일산업(주),건일산업(주),조선물류,25.0
55,1.0,75,1.2429999999999999,2,1,1,정상,C020B,3B,AI,60.0,LT부족,SN2126TC020BPP03B0,PP039A1105,B,S-80,CS,건일산업(주),건일산업(주),조선물류,23.0
