,After2_Co,ApplyLeadTime,BLOCK,DIA,Distribution,Emergency,JointCount,Length,Making_Co,Material,MemberCount,NO_Base,NO_Serial,NO_SetPLT,No_row,PaintingLT,Pass,Problem,STG,Sch,Service,Weight
44,건일산업(주),정상,C020B,2.0,조선물류,1.0,5.0,6000.0,건일산업(주),CS,6.0,SN2126TC020BPP03B0,60.0,PP039A1104,49,23.0,B,LT부족,3B,S-80,AU,62.75100000000001
45,건일산업(주),준긴급,C020B,2.0,조선물류,1.0,4.0,2388.0,건일산업(주),CS,5.0,SN2126TC020BPP03B0,60.0,PP039A1104,50,17.0,B,기타,3B,S-160,CDW,46.7
46,건일산업(주),정상,C020B,2.0,조선물류,1.0,3.0,3682.0,건일산업(주),CS,4.0,SN2126TC020BPP03B0,60.0,PP039A1104,51,16.0,B,LT부족,3B,S-80,N,34.831
47,건일산업(주),준긴급,C020B,2.0,조선물류,1.0,2.0,6000.0,건일산업(주),CS,3.0,SN2126TC020BPP03B0,60.0,PP039A1104,52,19.0,B,기타,3B,S-160,CDW,71.67
48,건일산업(주),정상,C020B,2.0,조선물류,1.0,3.0,3432.0,건일산업(주),CS,4.0,SN2126TC020BPP03B0,60.0,PP039A1104,53,25.0,B,LT부족,3B,S-80,AU,32.961
49,건일산업(주),정상,C020B,1.0,조선물류,1.0,1.0,75.0,건일산업(주),CS,2.0,SN2126TC020BPP03B0,60.0,PP039A1105,54,23.0,B,LT부족,3B,S-80,AI,1.243
50,건일산업(주),준긴급,C020B,2.0,조선물류,1.0,1.0,2274.0,건일산업(주),CS,2.0,SN2126TC020BPP03B0,60.0,PP039A1104,55,22.0,B,기타,3B,S-160,CDW,26.594
51,건일산업(주),정상,C020B,0.75,조선물류,1.0,1.0,79.0,건일산업(주),CS,2.0,SN2126TC020BPP03B0,60.0,PP039A1105,56,23.0,B,LT부족,3B,S-80,N,1.074
52,건일산업(주),정상,C020B,4.0,조선물류,1.0,6.0,11398.0,건일산업(주),CS,7.0,SN2126TC020BPP03B0,60.0,PP039A1104,57,15.0,B,LT부족,3B,S-40,AI,208.297
53,건일산업(주),준긴급,C020B,2.0,조선물류,1.0,1.0,5224.0,건일산업(주),CS,2.0,SN2126TC020BPP03B0,60.0,PP039A1104,58,17.0,B,기타,3B,S-160,CDW,59.369
54,건일산업(주),정상,C020B,0.75,조선물류,1.0,1.0,123.0,건일산업(주),CS,2.0,SN2126TC020BPP03B0,60.0,PP039A1105,59,23.0,B,LT부족,3B,S-80,AU,1.171
55,(주)성광테크,정상,C020A,1.0,조선물류,1.0,4.0,5510.0,(주)성광테크,CS,5.0,SN2126T0C100PP0500,40.0,PP058A1105,60,12.0,A,제작지연,50,S-80,AU,25.06
56,건일산업(주),정상,C020A,2.0,조선물류,1.0,1.0,6000.0,건일산업(주),CS,2.0,SN2126T0C100PP0500,40.0,PP058A1104,61,17.0,A,제작지연,50,S-80,AU,49.35
57,하이에어,준긴급,C020B,1.5,조선물류,1.0,7.0,2136.0,건일산업(주),SS,8.0,SN2126T0C200PP0500,50.0,PP058A1105,62,9.0,B,LT부족,50,S-XXS,MT,50.591
58,하이에어,준긴급,C020B,1.5,조선물류,1.0,7.0,1736.0,건일산업(주),SS,8.0,SN2126T0C200PP0500,50.0,PP058A1105,63,9.0,B,LT부족,50,S-XXS,CT,49.688
59,하이에어,정상,C020B,1.5,조선물류,1.0,6.0,4536.0,건일산업(주),SS,7.0,SN2126TC020BPP03B0,50.0,PP039A1105,64,8.0,B,LT부족,3B,S-XXS,CI,66.057
60,하이에어,준긴급,C020B,1.0,조선물류,1.0,9.0,2852.0,건일산업(주),SS,10.0,SN2126T0C200PP0500,50.0,PP058A1105,65,11.0,B,LT부족,50,S-80S,WD,19.937
61,하이에어,정상,C020B,1.5,조선물류,1.0,3.0,6000.0,건일산업(주),SS,4.0,SN2126TC020BPP03B0,50.0,PP039A1105,66,11.0,B,LT부족,3B,S-XXS,CT,71.656
62,건일산업(주),정상,C020B,1.0,조선물류,1.0,6.0,3502.0,건일산업(주),SS,7.0,SN2126TC020BPP0300,50.0,PP039A1105,67,16.0,B,LT부족,3B,S-80S,WD,20.934
63,하이에어,정상,C020B,1.5,조선물류,1.0,3.0,2876.0,건일산업(주),SS,4.0,SN2126TC020BPP03B0,50.0,PP039A1105,68,9.0,B,LT부족,3B,S-XXS,CI,41.862
64,하이에어,정상,C020B,1.5,조선물류,1.0,3.0,6000.0,건일산업(주),SS,4.0,SN2126TC020BPP03B0,50.0,PP039A1105,69,11.0,B,LT부족,3B,S-XXS,MT,70.166
