,Emergency,ApplyLeadTime,STG,Service,DIA,Length,Pass,Sch,Material,Weight,MemberCount,JointCount,Making_Co,MakingLT
161,1.0,정상,50,PG,12.0,1351.0,A,T-36,LTCS,528.6990000000002,2.0,1.0,건일산업(주),13.0
162,1.0,정상,50,PG,12.0,500.0,A,T-36,LTCS,483.718,4.0,2.0,건일산업(주),13.0
163,1.0,정상,50,CI,0.5,1437.0,A,S-80S,SS,14.368,4.0,2.0,건일산업(주),27.0
164,1.0,정상,50,CT,0.5,937.0,A,S-80S,SS,14.368,5.0,3.0,건일산업(주),21.0
165,1.0,정상,50,CM,1.0,1405.0,A,S-160,SS,19.837,4.0,2.0,건일산업(주),27.0
166,1.0,정상,50,CM,1.0,1405.0,A,S-160,SS,19.837,4.0,2.0,건일산업(주),27.0
170,1.0,최소,3B,CI,1.5,5653.0,A,S-XXS,SS,60.837,3.0,2.0,건일산업(주),9.0
173,1.0,최소,3B,CT,1.5,5653.0,A,S-XXS,SS,60.837,3.0,2.0,건일산업(주),9.0
177,1.0,최소,3B,MT,1.5,6000.0,A,S-XXS,SS,68.056,3.0,2.0,건일산업(주),13.0
182,1.0,최소,3B,CM,3.0,6000.0,A,S-XXS,SS,178.278,3.0,2.0,건일산업(주),13.0
183,1.0,최소,3B,CM,3.0,5500.0,A,S-XXS,SS,168.917,3.0,2.0,건일산업(주),9.0
186,0.0,최소,3B,AI,2.0,1903.0,A,S-80,CS,24.074,4.0,3.0,(주)성광테크,49.0
187,0.0,최소,3B,AI,2.0,1708.0,A,S-80,CS,28.401,5.0,4.0,(주)성광테크,49.0
188,1.0,정상,40,FGL,2.0,1408.0,A,S-160,CS,37.475,6.0,3.0,(주)성광테크,29.0
189,0.0,정상,50,PL,2.0,2073.0,A,S-160,CS,33.213,4.0,2.0,성일SIM함안공장,42.0
192,0.0,최소,40,AU,2.0,5000.0,A,S-80,CS,46.11,2.0,1.0,해승케이피피,56.0
193,0.0,최소,3B,AU,2.0,1903.0,A,S-80,CS,33.232,6.0,5.0,(주)성광테크,49.0
199,0.0,최소,40,N,2.0,4990.0,A,S-80,CS,46.035,2.0,1.0,해승케이피피,56.0
